Date,Close/Last,Volume,Open,High,Low
01/11/2022,1.51,N/A,1.51,1.51,1.51
01/10/2022,1.53,N/A,1.53,1.53,1.53
01/07/2022,1.5,N/A,1.5,1.5,1.5
01/06/2022,1.47,N/A,1.47,1.47,1.47
01/05/2022,1.43,N/A,1.43,1.43,1.43
01/04/2022,1.37,N/A,1.37,1.37,1.37
01/03/2022,1.37,N/A,1.37,1.37,1.37
12/31/2021,1.26,N/A,1.26,1.26,1.26
12/30/2021,1.27,N/A,1.27,1.27,1.27
12/29/2021,1.29,N/A,1.29,1.29,1.29
12/28/2021,1.27,N/A,1.27,1.27,1.27
12/27/2021,1.26,N/A,1.26,1.26,1.26
12/24/2021,1.25,N/A,1.25,1.25,1.25
12/23/2021,1.25,N/A,1.25,1.25,1.25
12/22/2021,1.23,N/A,1.23,1.23,1.23
12/21/2021,1.24,N/A,1.24,1.24,1.24
12/20/2021,1.17,N/A,1.17,1.17,1.17
12/17/2021,1.18,N/A,1.18,1.18,1.18
12/16/2021,1.19,N/A,1.19,1.19,1.19
12/15/2021,1.26,N/A,1.26,1.26,1.26
12/14/2021,1.23,N/A,1.23,1.23,1.23
12/13/2021,1.21,N/A,1.21,1.21,1.21
12/10/2021,1.25,N/A,1.25,1.25,1.25
12/09/2021,1.26,N/A,1.26,1.26,1.26
12/08/2021,1.27,N/A,1.27,1.27,1.27
12/07/2021,1.26,N/A,1.26,1.26,1.26
12/06/2021,1.21,N/A,1.21,1.21,1.21
12/03/2021,1.13,N/A,1.13,1.13,1.13
12/02/2021,1.21,N/A,1.21,1.21,1.21
12/01/2021,1.15,N/A,1.15,1.15,1.15
11/30/2021,1.14,N/A,1.14,1.14,1.14
11/29/2021,1.18,N/A,1.18,1.18,1.18
11/26/2021,1.16,N/A,1.16,1.16,1.16
11/25/2021,1.34,N/A,1.34,1.34,1.34
11/24/2021,1.34,N/A,1.34,1.34,1.34
11/23/2021,1.33,N/A,1.33,1.33,1.33
11/22/2021,1.33,N/A,1.33,1.33,1.33
11/19/2021,1.22,N/A,1.22,1.22,1.22
11/18/2021,1.22,N/A,1.22,1.22,1.22
11/17/2021,1.24,N/A,1.24,1.24,1.24
11/16/2021,1.27,N/A,1.27,1.27,1.27
11/15/2021,1.26,N/A,1.26,1.26,1.26
11/12/2021,1.24,N/A,1.24,1.24,1.24
11/11/2021,1.23,N/A,1.23,1.23,1.23
11/10/2021,1.23,N/A,1.23,1.23,1.23
11/09/2021,1.08,N/A,1.08,1.08,1.08
11/08/2021,1.13,N/A,1.13,1.13,1.13
11/05/2021,1.04,N/A,1.04,1.04,1.04
